GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06005","Amador, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",11240,11969,12542,12741,13521,14571,15091,15270,16239,17300,18591,19499,20205,20605,21103,21821,22659,23375,24531,27077,28939,30302,31741,32289,32803,33210,33549,33841,34107,34116,34903,35153,35697,36561,36994,37400,38040,38353,38756,38248,38238,37886,37543,37104,36620,36726,37031,37429,38529,39405,39752
 "06005","Amador, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4216,4349,4562,5001,5432,5762,6297,7135,7718,8471,9173,9776,10296,10810,11712,12906,13605,14369,15348,15481,15739,16215,16906,17588,18164,18370,19240,20154,20193,21687,22390,24638,26767,27627,28701,30267,30348,32049,33248,34244,33276,34371,35522,36435,37581,39707,41636,42522,43255,44282,45920
 "06007","Butte, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",352188,381579,415603,461533,536861,630119,699800,766349,861046,974489,1130636,1320695,1467413,1532666,1647030,1803653,1946271,2079377,2257359,2468501,2663869,2872915,3052820,3239403,3340767,3480305,3589571,3798320,4034871,4224271,4403680,4736566,5162034,5312740,5572089,5950940,6164088,6546945,6853798,7033652,7046609,7309787,7572610,7782000,8069386,8505555,9157915,9583705,9871490,10267576,10490209
 "06007","Butte, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",101057,102682,105916,112775,113223,117295,121626,125377,129470,131797,138531,144828,148451,151913,154263,156791,160680,163233,166970,171909,176583,183652,187678,190409,192831,194648,196083,196327,197994,199993,201282,203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186
 "06007","Butte, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3485,3716,3924,4093,4742,5372,5754,6112,6651,7394,8162,9119,9885,10089,10677,11504,12113,12739,13520,14359,15086,15643,16266,17013,17325,17880,18306,19347,20379,21122,21878,23240,25035,25405,26348,27930,28703,30195,31516,32112,32063,33234,34425,35234,36407,38053,40769,42362,43164,44576,47860
 "06009","Calaveras, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",48367,53990,57281,65528,73443,80152,90631,103094,116195,137840,155293,186710,211180,224502,254669,296176,327494,354945,396765,439282,514146,557727,591821,626615,664532,685693,714337,775480,825980,902882,962055,1070041,1166111,1227504,1317854,1397761,1457063,1559832,1646821,1684882,1645588,1670740,1724261,1704037,1727832,1843968,1985488,2073680,2158101,2249583,2347168
 "06009","Calaveras, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",13328,13658,13918,14241,14798,15185,15205,15694,16709,18301,19777,20916,21700,22778,23530,24196,24870,25854,27194,28248,30071,32542,34023,35233,35943,37073,37700,38441,39098,39581,40000,40645,41304,42380,43755,44530,45295,46045,46268,46265,45900,45468,45160,44815,44655,44671,44965,45322,45681,45698,45905
 "06009","Calaveras, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3629,3953,4116,4601,4963,5278,5961,6569,6954,7532,7852,8927,9732,9856,10823,12241,13168,13729,14590,15551,17098,17139,17395,17785,18488,18496,18948,20173,21126,22811,24051,26327,28232,28964,30119,31389,32168,33876,35593,36418,35852,36745,38181,38024,38693,41279,44156,45754,47243,49227,51131
 "06011","Colusa, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",71938,70572,73203,81932,108333,152063,140803,92610,122237,125226,153981,181886,191975,173013,166506,197851,231531,214446,248295,271546,299907,303990,306884,333271,368243,364659,394298,421786,428180,415539,489070,493699,481165,475118,552097,556665,567980,587873,685921,821204,877869,874692,882201,809284,860252,780445,887045,947227,954030,1070094,1106274
 "06011","Colusa, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",12334,12416,12350,12161,12241,12426,12620,12833,12764,12707,12939,12875,13184,13872,14109,14159,14701,14930,14972,15494,16004,16335,16572,16834,16997,17252,17584,17909,18262,18419,18620,18817,19022,19232,19568,20207,20540,20890,21075,21134,21250,21437,21323,21284,21250,21176,21231,21496,21579,21418,21547
 "06011","Colusa, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5832,5684,5927,6737,8850,12237,11157,7217,9577,9855,11901,14127,14561,12472,11801,13974,15749,14363,16584,17526,18740,18610,18518,19797,21665,21137,22424,23552,23447,22560,26266,26237,25295,24705,28214,27548,27652,28141,32547,38857,41311,40803,41373,38023,40482,36855,41781,44065,44211,49962,51342
 "06013","Contra Costa, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2787828,2977495,3207997,3523498,3825193,4297142,4837131,5410096,6028523,6863527,7829430,9056173,10193797,10958633,12010322,13330373,14468610,15633048,16881029,18465263,19943640,21206016,22121438,23899181,25039261,26072190,27642275,29728585,32420266,35258121,37897636,43116632,45400920,45145094,46499397,49500140,52389675,56595496,58812955,60274480,56289101,56904408,61481909,66733882,67318879,71136948,77847050,82676557,88448139,93700558,98423318
 "06013","Contra Costa, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",546362,556814,563371,567619,573982,581729,589053,601223,614961,626070,642832,658783,667293,678903,690150,698814,711446,725367,739987,759242,784395,809317,823183,839768,852532,861979,872075,884227,903049,921663,936983,952810,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890,1052540,1065440,1077548,1093401,1108876,1124405,1137268,1145535,1150519,1153526
 "06013","Contra Costa, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5103,5347,5694,6208,6664,7387,8212,8998,9803,10963,12180,13747,15276,16142,17402,19076,20337,21552,22813,24321,25426,26202,26873,28459,29370,30247,31697,33621,35901,38255,40446,45252,46759,46073,47087,49878,52441,56548,58280,58900,54234,54064,57706,61931,61568,64152,69234,72698,77211,81442,85324
 "06015","Del Norte, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",54540,58809,64960,71700,78529,86327,94539,106229,117924,136445,151703,173993,181532,171581,183670,198267,205107,216519,229952,257068,280856,334423,362139,384938,403488,416504,429870,435039,458706,488181,502211,523359,523498,526834,566119,620867,637044,675272,709696,744220,752199,783369,815735,830124,849798,885993,937395,974319,984436,1022361,1069227
 "06015","Del Norte, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",14224,14634,14985,15021,15419,15579,16059,16295,16828,17728,17915,18338,18789,18571,18704,18505,18701,19087,19526,20308,21270,23986,27012,27306,27942,28105,27802,27981,28340,28187,27624,27440,27292,27397,27601,27950,28281,28211,28415,28496,28599,28566,28443,28190,27816,27175,27190,27382,27351,27740,27812
 "06015","Del Norte, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3834,4019,4335,4773,5093,5541,5887,6519,7008,7697,8468,9488,9662,9239,9820,10714,10968,11344,11777,12658,13204,13942,13407,14097,14440,14820,15462,15548,16186,17319,18180,19073,19181,19230,20511,22213,22526,23936,24976,26117,26302,27423,28680,29447,30551,32603,34476,35582,35993,36855,38445
 "06017","El Dorado, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",185399,207258,237154,275555,322781,367145,433672,499863,577819,694801,797290,927795,1040609,1112546,1225788,1385857,1542433,1714299,1885475,2103478,2370147,2611704,2818290,3089365,3253816,3524628,3804899,4120660,4486495,4881213,5365019,5878487,6211610,6437500,6701314,7160243,7584901,8087435,8385499,8666377,8432024,8720972,9128243,9518294,9874704,10471404,11086060,11711406,12199413,12820940,13478795
 "06017","El Dorado, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",43168,44389,46046,48509,52713,55614,58416,62534,67014,73670,80658,86557,89367,92428,93434,95371,99093,102450,106852,112687,118828,127952,132724,136014,139646,142088,144574,146863,149589,152308,154381,157162,161101,165195,168331,171653,175003,176773,177694,179150,180455,181136,180936,180575,181481,183108,184569,185976,188679,190746,192843
 "06017","El Dorado, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4295,4669,5150,5680,6123,6602,7424,7993,8622,9431,9885,10719,11644,12037,13119,14531,15566,16733,17646,18667,19946,20412,21234,22714,23300,24806,26318,28058,29992,32048,34752,37404,38557,38969,39810,41713,43342,45750,47191,48375,46726,48146,50450,52711,54412,57187,60065,62973,64657,67215,69895
 "06019","Fresno, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1500510,1653102,1799992,2036193,2339957,2740807,2963789,3397744,3628639,4040140,4792511,5540745,5809316,6125148,6443188,7119275,7644924,8160310,8910556,9572858,10378753,11305019,11853761,12614523,13359184,13672905,14222713,14865185,15268932,16196433,17108093,18496412,19263404,20659321,22232347,23639786,24590953,26214753,27505553,28140901,28206209,29567869,31404880,32431359,33865015,36378424,38949236,40168751,41286010,43088095,45445944
 "06019","Fresno, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",408304,414886,424697,431918,439865,449886,464183,477162,489016,497564,506332,517679,528891,541500,555873,572091,584070,593621,608831,627658,650755,672302,691569,710263,726859,739835,749534,761409,771391,778615,789405,801288,813021,829762,847193,861035,872470,883862,895933,909630,921478,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101
 "06019","Fresno, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3675,3984,4238,4714,5320,6092,6385,7121,7420,8120,9465,10703,10984,11311,11591,12444,13089,13747,14636,15252,15949,16815,17140,17760,18379,18481,18975,19523,19794,20802,21672,23083,23694,24898,26242,27455,28185,29659,30700,30937,30610,31724,33431,34317,35591,37872,40175,41122,41905,43438,45487
 "06021","Glenn, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",71156,73813,78182,92399,120824,144255,142714,130642,147493,170263,209204,256495,254661,249131,235939,266494,286186,283801,320324,341983,349821,368356,369090,409865,433156,435535,425138,474724,495213,480529,509269,527985,579654,589391,624146,680546,698068,696522,821008,855138,882479,914636,985762,1009754,1089814,1070390,1150270,1200674,1217208,1317914,1396761
 "06021","Glenn, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",17207,17486,17396,17518,18260,18522,19150,19687,20109,20038,20991,21498,22050,22346,22873,22835,23171,23214,23318,23844,24428,24919,25181,25510,25663,25796,26040,26170,26270,26185,26332,26416,26450,26651,27016,27122,27393,27652,27775,28019,28100,28127,28139,27851,27809,27831,27753,27840,27926,27967,28393
 "06021","Glenn, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4135,4221,4494,5275,6617,7788,7452,6636,7335,8497,9966,11931,11549,11149,10315,11670,12351,12225,13737,14343,14320,14782,14657,16067,16879,16884,16326,18140,18851,18351,19340,19987,21915,22115,23103,25092,25483,25189,29559,30520,31405,32518,35032,36256,39189,38460,41447,43128,43587,47124,49194
 "06023","Humboldt, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",390205,410869,449546,484634,538295,592976,650730,735707,802633,882256,969802,1071630,1137324,1167934,1256380,1347309,1419775,1517564,1612109,1725832,1870544,1957517,2035251,2142505,2232589,2305898,2385010,2532287,2665509,2832570,2888285,3043163,3326336,3428484,3661148,3913761,3991189,4219945,4233258,4198046,4417059,4835780,5031857,5102248,5189463,5461795,5804485,6056894,6254062,6457937,6730966
 "06023","Humboldt, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",98868,99708,100115,103038,104378,105501,104239,105158,106256,107430,107777,108931,110338,109889,109638,110275,111050,111702,112818,114774,117161,119746,121375,123032,124147,123990,125927,126162,127086,127087,126676,126462,127520,128780,129754,130702,131497,132093,132001,132657,133744,135009,135243,134572,134403,134494,135102,136290,136507,136244,135558
 "06023","Humboldt, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3947,4121,4490,4703,5157,5621,6243,6996,7554,8212,8998,9838,10308,10628,11459,12218,12785,13586,14289,15037,15966,16347,16768,17414,17983,18597,18940,20072,20974,22288,22801,24064,26085,26623,28216,29944,30352,31947,32070,31646,33026,35818,37206,37915,38611,40610,42964,44441,45815,47400,49654
 "06025","Imperial, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",284148,299115,301362,384220,425947,488692,523162,581199,603258,656466,929275,892604,937766,1039053,1100336,1127019,1123270,1161225,1363167,1568327,1688937,1789097,1874590,2015111,2262259,2284882,2360428,2345878,2440859,2625793,2716208,2728047,3013830,3396634,3544125,3660691,3843753,4128385,4377931,4772539,4855435,5146671,5584408,5671528,5893251,6232834,6706452,6575270,6731955,6822928,7329602
 "06025","Imperial, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",73604,74795,74931,75869,79648,81526,82989,85264,86981,88474,90086,92584,94301,95688,96890,97475,99199,98885,100077,101881,105166,110839,117143,123823,132758,134315,136986,137987,138624,139615,141056,142410,143707,145640,148984,152259,156113,160505,164596,167917,172008,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215
 "06025","Imperial, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3860,3999,4022,5064,5348,5994,6304,6816,6936,7420,10315,9641,9944,10859,11357,11562,11323,11743,13621,15394,16060,16141,16003,16274,17040,17011,17231,17001,17608,18807,19256,19156,20972,23322,23789,24043,24622,25721,26598,28422,28228,29457,31768,32120,33401,35021,37479,36493,37060,37587,40447
 "06027","Inyo, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",58457,64784,71180,79725,85713,94205,105798,114992,124199,142494,162993,184930,208617,216714,229816,239976,246521,253169,259319,290002,319641,333343,344355,353760,366860,372034,385296,399834,418843,441101,454908,464771,547993,556653,589567,649502,678423,720121,742051,782544,772603,784276,813509,857639,877617,939340,979750,1039364,1064189,1045520,1091592
 "06027","Inyo, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",15417,15626,15799,15491,16344,16653,16879,17032,17226,16509,17748,17914,17954,18410,18420,18203,18083,17862,17794,17946,18317,18272,18312,18372,18337,18431,18395,18311,18241,18036,17968,17955,18117,18394,18593,18578,18478,18370,18426,18318,18544,18511,18392,18351,18357,18292,18108,17922,17868,17946,18039
 "06027","Inyo, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3792,4146,4505,5147,5244,5657,6268,6752,7210,8631,9184,10323,11620,11772,12476,13183,13633,14174,14573,16160,17451,18243,18805,19255,20007,20185,20946,21836,22962,24457,25318,25885,30247,30263,31709,34961,36715,39201,40272,42720,41663,42368,44232,46735,47808,51353,54106,57994,59558,58259,60513
 "06029","Kern, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1273392,1357079,1464866,1593327,1818667,2156400,2343300,2763966,2921259,3216417,3830294,4498790,4819966,5253132,5467802,6028100,6466455,6902908,7159440,7851244,8365507,9089058,9706159,10190092,10682018,10926342,11322808,11936703,12276732,13034202,13408479,14244286,15261795,16210220,17352019,18726154,20176085,21757840,23435629,24160612,24003563,26097169,27742981,29468514,30412531,32513120,33334249,33286588,34063749,35566558,37666752
 "06029","Kern, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",325549,330868,336227,336833,343007,344840,356866,366932,372217,377990,393198,406407,418877,433698,446961,459411,474243,486217,497910,510980,527922,549535,569346,589897,599843,614707,620201,626719,634695,643016,655428,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202
 "06029","Kern, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3912,4102,4357,4730,5302,6253,6566,7533,7848,8509,9741,11070,11507,12112,12233,13121,13635,14197,14379,15365,15846,16540,17048,17274,17808,17775,18257,19046,19343,20270,20458,21459,22557,23356,24293,25433,26522,27734,29175,29524,28915,31031,32717,34522,35281,37407,38051,37789,38388,39794,41843
 "06031","Kings, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",240790,265191,278879,314305,345342,437143,445741,532959,531403,525109,684421,846922,828510,892113,858897,999413,1006438,1007552,1157771,1243853,1382176,1393565,1495923,1630271,1719615,1782529,1802543,1929607,1972942,2009974,2143296,2265026,2487443,2751197,3107887,3374648,3480636,3505446,4007471,3915602,3777656,4070894,4515822,4423871,4557239,4958327,5137539,5262778,5461861,5595305,6030809
 "06031","Kings, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",65647,66570,66450,68161,68308,69067,70590,71708,72467,73556,73562,74265,76229,78213,81138,83004,85205,86372,88032,94510,99850,101885,104334,107414,109161,111565,113840,115411,116769,121457,126402,129835,132881,135369,139393,143601,145147,147712,150420,152027,152278,152370,151868,150991,150337,149495,150085,149382,149665,151382,152940
 "06031","Kings, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3668,3984,4197,4611,5056,6329,6315,7432,7333,7139,9304,11404,10869,11406,10586,12041,11812,11665,13152,13161,13843,13678,14338,15177,15753,15977,15834,16719,16896,16549,16956,17445,18719,20324,22296,23500,23980,23732,26642,25756,24808,26717,29735,29299,30313,33167,34231,35230,36494,36961,39433
 "06033","Lake, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",72377,79809,88263,100223,118046,134168,156373,178147,206512,248026,289855,350148,401425,447902,495174,550409,590331,640356,671078,713854,804120,858014,928862,972416,1004990,1035739,1059239,1132180,1183092,1263172,1324278,1410609,1519218,1607277,1663964,1711239,1736381,1828938,1883380,1921699,1916957,1999343,2059368,2118095,2175903,2310318,2456491,2533898,2622835,2741990,2849642
 "06033","Lake, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",18799,19805,20929,21839,23471,24131,25629,27425,29580,32228,34740,36831,38623,39991,41805,43812,45494,46135,47139,47911,48942,51149,53036,54358,55492,56097,56265,56331,56275,56695,57214,58538,60219,61513,62496,63116,63811,64202,64077,64392,64413,64735,64251,63954,63796,64044,64260,63903,64111,64317,64386
 "06033","Lake, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3850,4030,4217,4589,5029,5560,6101,6496,6981,7696,8344,9507,10393,11200,11845,12563,12976,13880,14236,14900,16430,16775,17514,17889,18111,18463,18826,20099,21023,22280,23146,24097,25228,26129,26625,27113,27211,28487,29392,29844,29760,30885,32052,33119,34107,36074,38227,39652,40911,42632,44259
 "06035","Lassen, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",67368,71748,79170,83128,93102,96098,113632,129147,139038,162228,184257,201532,213276,232985,245405,265434,283016,302204,314644,335540,359113,378271,413008,450867,462147,494506,514183,543805,559647,585929,612058,631910,651149,685138,731745,764642,786226,837250,895543,951301,933054,966168,996253,994214,980433,1005946,1065232,1097050,1111837,1133173,1165736
 "06035","Lassen, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",16611,16866,17231,17652,17644,18168,18596,18643,19352,19963,21137,21851,22570,23370,23558,23830,24128,24639,26051,26681,27334,27666,28001,28603,28774,28544,28825,31874,34123,34030,33838,33719,33548,33430,33930,34458,34488,34605,35615,35221,35160,34831,34246,33629,32129,31664,31256,30721,30920,30618,30573
 "06035","Lassen, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4056,4254,4595,4709,5277,5289,6111,6927,7185,8126,8717,9223,9450,9969,10417,11139,11730,12265,12078,12576,13138,13673,14750,15763,16061,17324,17838,17061,16401,17218,18088,18740,19409,20495,21566,22191,22797,24194,25145,27009,26537,27739,29091,29564,30516,31769,34081,35710,35959,37010,38130
 "06037","Los Angeles, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",33686644,35629674,37121848,40108100,43160005,47427380,51826029,56997723,62721460,70963500,79718877,89439394,100498267,107017122,114723500,126323970,135991037,145247377,156541571,167604195,177107568,190966436,193296048,201832265,203189504,207892571,215981745,227176765,237616263,258365051,270176180,286172845,297567198,306205735,321774548,342799954,364811800,394672557,411722452,422753721,409725253,428230025,458957708,492050220,491204293,524811553,560530772,581458264,602431122,627608360,653482910
 "06037","Los Angeles, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",6989910,7042756,7103651,7056632,7040446,7085800,7116806,7211683,7251637,7351757,7401021,7506544,7608796,7767422,7920955,8041685,8182906,8393640,8553844,8667680,8793710,8878157,8948125,9055424,9100159,9096608,9089015,9127042,9206538,9313589,9437290,9538191,9626034,9705913,9767145,9793263,9786373,9737955,9700359,9735147,9787400,9823246,9876482,9935375,9992484,10040072,10085416,10105708,10103711,10073906,10039107
 "06037","Los Angeles, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4819,5059,5226,5684,6130,6693,7282,7904,8649,9653,10771,11915,13208,13778,14484,15709,16619,17304,18301,19337,20140,21510,21602,22289,22328,22854,23763,24891,25810,27741,28629,30003,30913,31548,32945,35004,37278,40529,42444,43426,41863,43594,46470,49525,49157,52272,55578,57538,59625,62300,65094
 "06039","Madera, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",142509,157504,172911,203344,252612,288523,303984,351479,404651,443859,599802,679239,665972,687423,699323,780203,830324,922147,1049058,1133911,1222046,1330613,1418479,1602982,1665036,1700029,1729154,1886968,2030119,2124919,2246847,2354133,2558591,2769668,2978258,3312636,3457218,3642627,3971634,3982879,3863463,4295560,4549836,4805261,4975765,5341934,5472950,5731880,5901022,6133070,6492474
 "06039","Madera, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",41079,41707,42754,43223,44458,46071,47917,49699,52777,55741,60169,63961,67214,69240,71504,72996,75118,76960,79003,81762,84797,89125,94973,99536,104039,107396,109300,113143,116442,119143,121883,123587,125581,128369,132738,137106,140313,143622,146067,148359,149234,150986,151675,151527,151370,153456,153576,153956,155423,156882,157327
 "06039","Madera, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3469,3776,4044,4705,5682,6263,6344,7072,7667,7963,9969,10620,9908,9928,9780,10688,11054,11982,13279,13868,14411,14930,14936,16105,16004,15830,15820,16678,17435,17835,18434,19048,20374,21576,22437,24161,24639,25363,27190,26846,25889,28450,29997,31712,32872,34811,35637,37231,37967,39094,41267
 "06041","Marin, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1233473,1319908,1421836,1581155,1728807,1889287,2109152,2349280,2589028,2959686,3370252,3940435,4463347,4812780,5230185,5681017,6023344,6329703,6592641,7204904,7604056,7962427,8397207,9045108,9547840,10116017,10842938,11658332,12745226,14341222,15436940,17242038,18186088,17457981,17544470,18761815,19810578,21519094,22208959,22527700,20627897,21264321,23228271,24912755,25443009,27770296,29895845,31014406,32626304,35331237,36684680
